codigo_ruta,ruta,linea,itinerario,sentido,sistema,cuenca,municipio,longitud_shape
60252,C6-025B,C6-025B  Bosque Verde - Estación Oriente,C6-025B Estación Oriente - Bosque Verde,2,A,6,5001,1334.7204677453617
6024,C6-024,C6-024 8 de Marzo - Estación Alejandro Echavarría,C6-024 8 de Marzo,2,A,6,5001,3157.3203362426075
6024,C6-024,C6-024 8 de Marzo - Estación Alejandro Echavarría,C6-024 Estación Alejandro Echavarría,1,A,6,5001,2115.099359211778
6025,C6-025,C6-025 8 de Marzo - Estación Oriente,C6-025  8 de Marzo - Estación Oriente,1,A,6,5001,3192.5573644080473
6025,C6-025,C6-025 8 de Marzo - Estación Oriente,C6-025 Estación Oriente - 8 de Marzo,2,A,6,5001,3306.3557791148232
30011,C3-001A,C3-001A Los Cabos - Aguacatala,C3-001A Aguacatala - Los Cabos,2,A,3,5001,5003.958756141936
30011,C3-001A,C3-001A Los Cabos - Aguacatala,C3-001A Los Cabos - Aguacatala,1,A,3,5001,4485.660248840123
30042,C3-004B,C3-004B Altavista - Buga,C3-004B Buga,2,A,3,5001,5295.2301962650345
30042,C3-004B,C3-004B Altavista - Buga,C3-004B Los Alpes,1,A,3,5001,6584.603572244721
30071,C3-007A,C3-007A Loma los Bernal - Aliadas - La Palma,C3-007A Loma los Bernal - Aliadas - La Palma,1,A,3,5001,3742.2974883452025
30071,C3-007A,C3-007A Loma los Bernal - Aliadas - La Palma,C3-007A Loma los Bernal - Aliadas - Valbuena,2,A,3,5001,2876.1524330068714
60021,C6-002A,C6-002A Versalles - Estación Hospital,C6-002A Estación Hospital,1,A,6,5001,5268.0947907219925
60021,C6-002A,C6-002A Versalles - Estación Hospital,C6-002A Versalles,2,A,6,5001,5759.588231806498
60051,C6-005A,C6-005A Quinta Linda - Parque San Antonio,C6-005A Parque San Antonio,1,A,6,5001,5087.817587113384
60051,C6-005A,C6-005A Quinta Linda - Parque San Antonio,C6-005A Quinta Linda,2,A,6,5001,5170.703279915274
60121,C6-012A,C6-012A La Francia - Estación Acevedo,C6-012A La Francia - Estación Acevedo,3,A,6,5001,4175.8171794339905
60151,C6-015A,C6-015A Villa de Guadalupe - Estación Hospital,C6-015A Estación Hospital,1,A,6,5001,4973.831018482709
60151,C6-015A,C6-015A Villa de Guadalupe - Estación Hospital,C6-015A Villa de Guadalupe,2,A,6,5001,5198.81684085768
300313,C3-003M,C3-003M Belén - Manzanillo,C3-003M Belén,1,A,3,5001,5653.718648725127
300313,C3-003M,C3-003M Belén - Manzanillo,C3-003M Manzanillo,2,A,3,5001,5902.505263858475
300316,C3-003P,C3-003P Belén - La Piscina,C3-003P Belén - La Piscina,2,A,3,5001,6594.718595131256
300316,C3-003P,C3-003P Belén - La Piscina,C3-003P La Piscina - Belén,1,A,3,5001,6328.926948022468
300416,C3-004P,C3-004P Altavista - La Perla,C3-004P La Perla,2,A,3,5001,4828.151666082837
300416,C3-004P,C3-004P Altavista - La Perla,C3-004P Los Alpes,1,A,3,5001,6061.755836288243
3003181,C3-003RA,C3-003RA Belén - Rodeo Alto,C3-003RA Belén - Rodeo Alto,2,A,3,5001,4901.496524825627
3003181,C3-003RA,C3-003RA Belén - Rodeo Alto,C3-003RA Rodeo Alto - Belén,1,A,3,5001,4764.350367824816
30031822,C3-003RV,C3-003RV Belén - Rodeo Verde,C3-003RV Belén - Rodeo Verde,2,A,3,5001,4936.12566187631
30031822,C3-003RV,C3-003RV Belén - Rodeo Verde,C3-003RV Rodeo Verde - Belén,1,A,3,5001,4841.071132759886
300318123,C3-003RLC,C3-003RLC Belén - Los Cabos,C3-003RLC Belén - Los Cabos,2,A,3,5001,4115.627988221199
300318123,C3-003RLC,C3-003RLC Belén - Los Cabos,C3-003RLC Los Cabos - Belén,1,A,3,5001,3873.804794488958
